path,line,classification,relevance,disposition,text
docs/justification/environmental-state-governance.md,153,active canonical,ordinary causal language; no provenance contract,reviewed; no scalar contract,"Governing on E addresses the root cause. Governing on AI confidence, uncertainty, or performance addresses downstream symptoms of the same cause. Environmental state governance is more fundamental. Rahim et al. (2024) [[notes]](../../notes/Survival%20Decisions%20and%20Adaptation%20Strategies%20of%20Small-scale%20Fishers%20in%20the%20Face%20of%20Extreme%20Weather%20Impacts%20in%20Coastal%20Areas.md) document this causal structure empirically: in coastal Indonesian fisheries, ""wind velocity, wave height, precipitation, season, and vessel size"" are the primary inputs to fishers' go/no-go decisions, with all other factors — including personal capacity and economic need — treated as downstream considerations. Bajcsy & Fisac (2024) [[notes]](../../notes/Human%E2%80%93AI%20Safety-%20A%20Descendant%20of%20Generative%20AI%20and%20Control%20Systems%20Safety.md) formalise the same logic in their Human-AI safety framework, establishing that ""present actions which do not appear to violate constraints can still steer the system into states from which it is impossible to avoid catastrophic failures in the future"" — a finding that demands governance be triggered by upstream environmental state, not by downstream evidence of problems already emerging."
docs/justification/environmental-state-governance.md,220,active canonical,ordinary causal language; no provenance contract,reviewed; no scalar contract,"| **Environmental state** | **Upstream (cause)** | **Yes** | **Yes** | **Yes** | **Yes** | **Yes (Yamin et al., 2025 [[notes]](../../notes/Interplay%20of%20traditional%20knowledge%20and%20adaptive%20capacity%20in%20climate%20change%20adaptation%20of%20small-scale%20fishers%20in%20central%20Terengganu%2C%20Malaysia%20.md); Gao, 2024 [[notes]](../../notes/Mapping%20the%20decision-making%20factors%20of%20small-scale%20fishers-%20a%20case%20study%20of%20Penang.md); Rahim et al., 2024 [[notes]](../../notes/Survival%20Decisions%20and%20Adaptation%20Strategies%20of%20Small-scale%20Fishers%20in%20the%20Face%20of%20Extreme%20Weather%20Impacts%20in%20Coastal%20Areas.md))** |"
docs/justification/environmental-state-governance.md,247,active canonical,ordinary causal language; no provenance contract,reviewed; no scalar contract,"> Environmental safety state is selected as the governance trigger because it is causally upstream of all other candidate signals — environmental conditions *cause* both real-world danger and degraded AI performance; AI confidence, uncertainty, and performance are downstream symptoms. This causal primacy is confirmed empirically across multiple independent fisheries studies. Yamin et al. (2025) [[notes]](../../notes/Interplay%20of%20traditional%20knowledge%20and%20adaptive%20capacity%20in%20climate%20change%20adaptation%20of%20small-scale%20fishers%20in%20central%20Terengganu%2C%20Malaysia%20.md), in a primary survey of 136 small-scale fishers in central Terengganu (the exact target population), find near-unanimous fisher-reported identification of wind/waves (95%), weather intensity (91%), and erratic rainfall (91%) as the primary climate hazards — mapping directly onto E vector components w, o, and r; the empirical knowledge item ""if it's suddenly windy/change of weather, I can't go fishing"" confirms that environmental state is already the binary go/no-go trigger in current practice. Gao (2024) [[notes]](../../notes/Mapping%20the%20decision-making%20factors%20of%20small-scale%20fishers-%20a%20case%20study%20of%20Penang.md) records that Penang fishers make tripartite (go / cautious-go / don't-go) decisions from environmental state. Rahim et al. (2024) [[notes]](../../notes/Survival%20Decisions%20and%20Adaptation%20Strategies%20of%20Small-scale%20Fishers%20in%20the%20Face%20of%20Extreme%20Weather%20Impacts%20in%20Coastal%20Areas.md) document that wind velocity, wave height, and seasonal conditions are the primary inputs to coastal fisher go/no-go decisions in Indonesia. The proposed architecture formalises existing domain practice rather than imposing an external abstraction. Environmental state is independently observable via non-AI sensors, making governance robust to AI system failure and free from circular dependency; Bloomfield & Rushby (2025) [[notes]](../../notes/Assurance%20of%20AI%20Systems%20From%20a%20Dependability%20Perspective.md) identify this independence as the defining property of *assuredly guarded* systems, and Könighofer et al. (2025) [[notes]](../../notes/Shields%20for%20Safe%20Reinforcement%20Learning.md) confirm it in their shielding framework: ""a shield maintains a clear separation between an agent's safety and performance."" Environmental state is human-interpretable — Atf & Lewis (2026) [[notes]](../../notes/Is%20Trust%20Correlated%20With%20Explainability%20in%20AI%3F%20A%20Meta-Analysis.md) establish through meta-analysis of 90 studies (r = 0.194) that explainability has only a weak effect on trust, making the case that governance rationale must be grounded in independently verifiable physical parameters rather than technical scores; McGrath et al. (2025, CHAI-T) [[notes]](../../notes/Collaborative%20Human-AI%20Trust%20(CHAI-T)-%20A%20Process%20Framework%20for%20Active%20Management%20of%20Trust%20in%20Human-AI%20Collaboration.md) establish that optimal trust requires expectation-capability alignment, which environmental state governance enables by communicating legible, verifiable conditions. It is formally tractable: the Safety Dominance Property AI(E) ⊆ A_AI(S) is provable when S = f(E) is a deterministic function of observables, satisfying the independence requirement specified by Dalrymple et al. (2024) [[notes]](../../notes/Towards%20Guaranteed%20Safe%20AI-%20A%20Framework%20for%20Ensuring%20Robust%20and%20Reliable%20AI%20Systems.md) and Bajcsy & Fisac (2024) [[notes]](../../notes/Human%E2%80%93AI%20Safety-%20A%20Descendant%20of%20Generative%20AI%20and%20Control%20Systems%20Safety.md) for formal safety guarantees. It is proactive: governance mode changes in response to environmental conditions before AI recommendations are generated under dangerous inputs, analogous to the ODD confinement approach documented by Gyllenhammar et al. (2025) [[notes]](../../notes/The%20Road%20to%20Safe%20Automated%20Driving%20Systems-%20A%20Review%20of%20Methods%20Providing%20Safety%20Evidence.md) in automated driving. And it addresses a gap confirmed across all major safety-critical AI domains: Ramos et al. (2024) [[notes]](../../notes/Collaborative%20Intelligence%20for%20Safety-Critical%20Industries-%20A%20Literature%20Review.md) find no implementation of state-conditioned advisory scope restriction across 91 collaborative intelligence papers, and Bengio et al. (2026) [[notes]](../../notes/International%20AI%20Safety%20Report%202026.md) confirm that all 11 major Frontier AI Safety Frameworks implement only Level 1 (participation) governance, not Level 2 (advisory scope) governance conditioned on operational environment — the precisely defined gap that environmental safety state governance fills."
docs/justification/formal-model.md,229,active canonical,ordinary causal language; no provenance contract,reviewed; no scalar contract,"**A2 — Correct sensor data.** f(E) produces a correct classification only if the input E accurately represents the actual environmental conditions. Sensor faults, calibration errors, or communication failures can cause misclassification. See `justification-safety-state-design.md` §3 for analysis of misclassification consequences."
docs/justification/three-states.md,53,active canonical,ordinary causal language; no provenance contract,reviewed; no scalar contract,"**Cognitive load.** Wen et al. (2025) document that mode confusion — a form of cognitive failure in which operators misidentify which operational mode the system is in — was a recurrent cause of failure across both process control (13.3% of accident cases) and autonomous vehicle domains (10.0% of accident cases). Every additional discrete level is an additional mode that operators must track, distinguish, and respond to correctly under time pressure. Three levels define two transition boundaries (SAFE→CAUTION and CAUTION→UNSAFE), each with a clear directional change in AI advisory scope. Five levels define four boundaries, each requiring operationally distinct responses."
docs/justification/viva-formalisation-architecture.md,153,active canonical,ordinary causal language; no provenance contract,reviewed; no scalar contract,"The concern about indirect feedback is that a human acting on an AI recommendation could change behaviour in a way that eventually changes E. For example: the AI recommends Delay → fisher delays → weather improves → E updates to SAFE. But this is not a feedback loop in the problematic sense. The state transition is driven by physical weather change (w decreasing), not by the AI recommendation. The AI did not cause the wind to decrease. Any governance system operating in a dynamic environment will see state changes over time — this is correct behaviour, not a feedback vulnerability."
docs/justification/viva-formalisation-architecture.md,203,active canonical,ordinary causal language; no provenance contract,reviewed; no scalar contract,"*Viva one-liner: Type-level governance is sufficient because the hazard is in making a certain category of claim — once that category is blocked, no value within it can cause harm.*"
docs/obsolete/writing-skill.md,156,archived,ordinary causal language; no provenance contract,preserved historical wording,- clarify cause-effect  
docs/reference/research-improvement-plan.md,63,active canonical,ordinary causal language; no provenance contract,reviewed; no scalar contract,"**Problem:** ""Socio-Technical Evaluation"" signals a socio-technical research strand as a named co-contribution. It elevates RQ5 above its proper role as contextual validation and will cause framing drift throughout the examination."
docs/superpowers/plans/2026-09-06-formal-model-and-evaluation-realignment.md,79,active canonical,ordinary causal language; no provenance contract,reviewed; no scalar contract,| # | Miss | Where | Cause |
publications/active/journal-1/submissions/v1-initial-submission/manuscript.md,511,historical,ordinary causal language; no provenance contract,preserved historical wording,"**Significance.** Theorem 6.3 establishes **effectiveness**: the safety constraints are actually enforced on the AI output. The AI cannot — by construction — produce a recommendation outside the scope defined by the current safety state. No environmental condition can cause the AI to generate DepartureTime or Duration under CAUTION, and no condition can cause any recommendation under UNSAFE. This guarantee holds for all E, not just for tested scenarios. It is the load-bearing safety guarantee of the architecture."
